# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;-1;15.22;0.00;4.77;3.45;0.03;76.53
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;0;7.68;0.00;3.04;0.02;0.03;89.23
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;1;26.49;0.00;5.33;0.00;0.00;68.18
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;2;9.37;0.00;4.52;0.03;0.02;86.06
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;3;28.24;0.00;8.49;0.05;0.00;63.23
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;4;7.97;0.00;1.73;0.07;0.00;90.24
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;5;10.75;0.00;6.88;0.05;0.02;82.31
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;6;14.21;0.00;7.49;1.06;0.02;77.23
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;7;3.82;0.00;3.32;0.67;0.00;92.19
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;8;19.55;0.00;8.05;11.30;0.02;61.08
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;9;16.99;0.00;7.23;0.18;0.00;75.59
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;10;22.32;0.00;7.71;0.08;0.00;69.88
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;11;23.61;0.00;7.54;0.26;0.03;68.56
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;12;8.51;0.00;3.36;0.15;0.03;87.95
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;13;22.96;0.00;9.10;15.83;0.09;52.03
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;14;27.57;0.00;8.70;16.63;0.05;47.04
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;15;19.54;0.00;5.81;0.50;0.03;74.11
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;16;39.70;0.00;1.45;0.00;0.00;58.85
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;17;11.27;0.00;2.30;0.00;0.00;86.42
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;18;1.49;0.00;1.05;0.12;0.03;97.31
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;19;5.15;0.00;4.50;0.02;0.02;90.31
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;20;23.68;0.00;4.17;0.00;0.00;72.15
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;21;0.13;0.00;0.12;0.00;0.00;99.75
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;22;3.53;0.00;0.73;0.02;0.00;95.72
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;23;5.52;0.00;1.10;0.00;0.00;93.38
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;24;10.59;0.00;2.17;0.00;0.00;87.24
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;25;28.50;0.00;7.50;0.00;0.00;64.01
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;26;17.76;0.00;3.28;0.35;0.00;78.61
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;27;7.15;0.00;2.90;0.17;0.00;89.79
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;28;12.18;0.00;10.13;70.71;0.51;6.47
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;29;8.46;0.00;3.03;0.00;0.00;88.51
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;30;25.92;0.00;6.55;0.17;0.00;67.37
ip-10-227-0-12.us-west-1.compute.internal;60;1439889715;31;17.33;0.00;4.49;0.05;0.00;78.13
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;-1;16.31;0.00;4.97;3.82;0.02;74.88
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;0;10.07;0.00;2.08;0.00;0.03;87.82
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;1;24.86;0.00;3.25;2.33;0.00;69.56
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;2;29.35;0.00;4.69;0.00;0.00;65.96
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;3;19.61;0.00;5.62;0.00;0.02;74.76
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;4;10.03;0.00;1.37;0.00;0.00;88.60
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;5;28.59;0.00;7.63;0.00;0.00;63.78
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;6;31.37;0.00;4.34;0.00;0.00;64.28
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;7;37.22;0.00;8.59;0.00;0.00;54.19
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;8;18.77;0.00;8.10;11.39;0.02;61.72
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;9;26.73;0.00;10.71;8.08;0.00;54.48
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;10;36.61;0.00;13.21;0.87;0.02;49.30
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;11;35.55;0.00;11.08;0.98;0.02;52.37
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;12;8.46;0.00;3.28;0.77;0.02;87.48
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;13;22.35;0.00;12.92;21.39;0.03;43.31
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;14;30.13;0.00;11.59;12.32;0.02;45.93
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;15;36.06;0.00;12.60;7.68;0.02;43.64
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;16;0.08;0.00;0.00;0.00;0.00;99.92
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;17;4.67;0.00;1.30;0.00;0.00;94.03
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;18;2.75;0.00;0.23;0.00;0.00;97.01
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;19;14.63;0.00;1.22;0.00;0.00;84.15
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;20;2.55;0.00;0.32;0.02;0.00;97.12
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;21;0.02;0.00;0.02;0.02;0.00;99.95
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;22;17.13;0.00;0.77;0.00;0.00;82.10
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;23;2.90;0.00;0.27;0.02;0.00;96.82
ip-10-227-0-12.us-west-1.compute.internal;60;1439889775;24;4.41;0.00;1.45;0.00;0.00;94.14
