Linux 3.10.0-229.el7.x86_64 (ip-10-227-0-12.us-west-1.compute.internal) 	08/18/2015 	_x86_64_	(32 CPU)

05:20:55 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
05:21:55 AM     all     15.22      0.00      4.77      3.45      0.03     76.53
05:22:55 AM     all     16.31      0.00      4.97      3.82      0.02     74.88
05:23:55 AM     all     15.53      0.00      4.80      3.27      0.02     76.39
05:24:55 AM     all     16.43      0.00      3.89      4.22      0.02     75.43
05:25:55 AM     all     17.55      0.00      4.24      2.81      0.03     75.37
05:26:55 AM     all     18.71      0.00      3.14      3.42      0.02     74.71
05:27:55 AM     all     18.47      0.00      2.88      3.81      0.02     74.81
05:28:55 AM     all     15.22      0.00      4.98      3.20      0.03     76.57
05:29:55 AM     all     18.46      0.00      5.59      1.27      0.01     74.68
05:30:55 AM     all     17.67      0.00      6.30      0.54      0.01     75.48
05:31:55 AM     all     17.95      0.00      6.09      1.00      0.01     74.95
05:32:55 AM     all     18.77      0.00      5.49      1.25      0.01     74.48
05:33:55 AM     all     16.86      0.00      5.76      1.58      0.01     75.79
05:34:55 AM     all     13.45      0.00      5.54      3.60      0.02     77.38
05:35:55 AM     all     12.68      0.00      5.80      3.78      0.02     77.71
05:36:55 AM     all     13.73      0.00      5.42      3.20      0.03     77.62
05:37:55 AM     all     16.72      0.00      5.25      3.06      0.02     74.94
05:38:55 AM     all     19.73      0.00      5.34      0.49      0.01     74.43
05:39:55 AM     all     18.49      0.00      5.94      0.35      0.01     75.21
05:40:55 AM     all     18.74      0.00      5.79      0.38      0.01     75.08
05:41:55 AM     all     16.51      0.00      6.57      0.28      0.01     76.62
05:42:55 AM     all     16.90      0.00      6.04      1.15      0.01     75.90
05:43:55 AM     all     14.65      0.00      5.03      3.64      0.03     76.66
05:44:55 AM     all     15.31      0.00      5.17      3.23      0.03     76.27
05:45:55 AM     all     17.11      0.00      5.83      1.15      0.02     75.89
05:46:55 AM     all     17.08      0.00      5.93      0.17      0.02     76.81
